h 	 pve 	 rho 	 pge 	 pi 	 n_gamma
9.822952e-01	9.519783e-01	7.958711e-01	4.145319e-01	1.666022e-02	20	
8.334895e-03	1.283843e-03	9.849012e-01	9.235936e-01	2.174012e-02	24	
5.126933e-01	2.302658e-01	9.999289e-01	9.997151e-01	2.104090e-02	28	
2.242136e-01	1.331239e-01	6.777533e-02	2.894564e-02	2.407149e-02	35	
4.481801e-01	2.485917e-01	9.374176e-02	3.171155e-02	2.510528e-02	28	
3.091191e-02	3.311188e-02	4.107546e-01	5.323800e-02	1.947700e-02	25	
8.806949e-02	5.599700e-02	6.154669e-01	2.331626e-01	2.783020e-02	39	
3.324413e-01	1.681785e-01	5.369482e-01	2.263852e-01	9.396725e-03	12	
3.629301e-01	9.660889e-02	9.830816e-01	9.283110e-01	7.211023e-03	8	
9.034950e-01	5.657339e-01	9.602970e-01	7.718679e-01	7.311681e-03	12	
9.419259e-01	8.089938e-01	9.186408e-01	6.802368e-01	6.999452e-03	14	
9.682045e-01	8.643874e-01	9.194815e-01	6.790088e-01	6.767722e-03	9	
9.131616e-01	6.651283e-01	9.450645e-01	7.202568e-01	7.256967e-03	10	
3.187475e-02	1.591971e-02	4.534625e-01	2.674086e-01	1.049966e-02	11	
8.500085e-02	4.931704e-02	2.641522e-01	2.984004e-01	7.302409e-03	12	
1.602314e-01	1.590381e-01	3.027058e-01	1.363464e-01	6.172968e-03	9	
3.156699e-02	2.499719e-02	2.173258e-01	4.209488e-02	3.630219e-03	6	
2.041844e-01	1.120924e-01	4.189768e-01	3.850673e-02	2.750703e-03	3	
1.717301e-01	4.443042e-02	7.788002e-01	2.639365e-01	7.434206e-03	10	
1.215531e-01	8.478648e-02	6.673649e-01	9.462031e-02	1.024799e-02	13	
7.053658e-01	6.242895e-01	1.048809e-01	8.716496e-02	1.003712e-02	12	
1.954143e-02	2.666262e-02	1.654896e-01	3.251431e-02	1.021820e-02	18	
6.058352e-01	4.033164e-01	7.776692e-01	2.901547e-01	8.952779e-03	12	
6.504576e-01	2.456274e-01	9.285394e-01	5.097251e-01	2.477572e-02	30	
2.729855e-01	1.493950e-01	4.878660e-01	1.307263e-01	3.602379e-02	48	
2.226503e-01	1.032056e-01	3.245249e-01	1.902868e-01	3.073679e-02	37	
5.859526e-01	3.084289e-01	7.518378e-01	1.322966e-01	2.322211e-02	27	
1.302786e-01	6.516641e-02	4.053621e-01	5.493076e-02	2.492016e-02	32	
1.362402e-01	2.504648e-02	8.921243e-01	3.717545e-01	2.358741e-02	20	
6.692894e-01	4.520531e-01	2.737862e-01	9.836283e-02	2.582028e-02	43	
3.514333e-01	4.746460e-02	9.614643e-01	5.985531e-01	2.359950e-02	43	
8.889065e-01	7.328404e-01	4.200977e-01	2.510049e-01	2.358104e-02	33	
1.307250e-01	4.381719e-02	7.432078e-01	3.133186e-01	2.779148e-02	35	
2.535139e-02	4.041896e-03	9.318611e-01	6.687069e-01	2.076420e-02	20	
6.510678e-01	1.322360e-01	9.422540e-01	4.480122e-01	1.455681e-02	14	
3.025096e-01	1.080248e-01	6.249394e-01	1.131626e-01	1.356008e-02	18	
5.973927e-01	3.132956e-01	6.933301e-01	2.815010e-01	8.388054e-03	13	
3.821314e-01	1.200178e-01	8.104366e-01	1.657033e-01	8.514905e-03	10	
2.729062e-01	1.517363e-01	3.729660e-01	4.313657e-02	1.010524e-02	11	
3.084495e-02	1.858204e-02	4.153911e-01	7.099353e-02	7.065034e-03	15	
2.557295e-01	1.744614e-01	5.530838e-01	1.050046e-01	6.189971e-03	7	
3.428037e-01	9.086898e-02	9.707004e-01	8.924928e-01	1.070052e-02	17	
9.134174e-01	6.646937e-01	8.600541e-01	6.514580e-01	9.828090e-03	16	
5.128433e-01	1.237962e-01	6.811190e-01	2.215652e-01	1.224230e-02	19	
5.514744e-03	8.771353e-04	8.959130e-01	4.433666e-01	1.204003e-02	13	
7.001182e-01	4.830968e-01	8.490793e-01	6.866677e-01	1.398746e-02	22	
3.504157e-02	1.442685e-02	2.814798e-01	9.582905e-02	2.039096e-02	31	
4.301019e-01	3.628434e-01	3.534361e-01	1.008275e-01	1.700628e-02	25	
2.244081e-01	9.144148e-02	6.049820e-01	2.273235e-01	1.178388e-02	22	
2.371477e-01	2.947727e-02	9.862386e-01	7.652923e-01	1.840532e-02	17	
4.334829e-01	2.948550e-01	2.929413e-01	9.047894e-02	1.572002e-02	22	
3.930010e-01	2.498032e-01	2.509936e-01	6.904764e-02	3.262139e-02	42	
2.938066e-01	2.225788e-01	1.124852e-01	1.341991e-02	3.568507e-02	46	
5.425783e-02	4.960372e-02	2.614227e-01	2.377300e-01	2.694040e-02	35	
4.318911e-02	2.406846e-02	2.372749e-01	5.187050e-02	2.922172e-02	44	
3.251331e-01	2.306878e-01	2.961304e-01	7.475397e-02	2.949188e-02	43	
1.684582e-01	6.978866e-02	6.011234e-01	3.917069e-02	3.107126e-02	30	
1.172244e-02	4.066399e-03	6.885457e-01	1.463195e-01	3.356857e-02	44	
1.931622e-01	5.059540e-02	9.729865e-01	9.029240e-01	3.099810e-02	41	
3.612499e-01	2.094061e-01	7.515304e-01	4.088757e-01	2.767457e-02	39	
5.265184e-01	2.784878e-01	7.315188e-01	2.832409e-01	3.122258e-02	39	
1.068307e-01	8.870502e-02	2.783072e-01	5.026116e-02	4.180607e-02	51	
3.103884e-01	2.151379e-01	6.201537e-01	3.759540e-01	4.364783e-02	64	
3.211044e-01	1.654057e-01	7.820640e-01	3.722255e-01	4.769082e-02	59	
3.345812e-01	2.148595e-01	5.359259e-01	1.869354e-01	6.069659e-02	63	
8.758371e-02	5.088207e-02	6.781517e-01	1.382633e-01	4.772257e-02	72	
2.528329e-01	6.543337e-02	8.748176e-01	4.325743e-01	4.864640e-02	77	
3.046660e-02	2.406267e-03	9.950408e-01	9.438101e-01	7.253715e-02	91	
7.093581e-02	2.768712e-02	8.094063e-01	3.631502e-01	7.105160e-02	93	
1.131104e-01	3.722160e-02	6.899975e-01	1.794247e-01	8.530815e-02	99	
6.974283e-01	5.320103e-01	4.261082e-01	1.095135e-01	1.079675e-01	126	
3.304420e-01	1.634591e-01	6.700725e-01	2.783301e-01	8.744429e-02	104	
1.309311e-02	5.813195e-03	4.506756e-01	1.852980e-01	7.522338e-02	98	
5.358882e-01	2.267861e-01	9.092190e-01	4.851782e-01	8.446402e-02	103	
6.183796e-01	5.047695e-01	2.488595e-01	3.891612e-02	7.552840e-02	101	
9.966820e-01	9.897732e-01	5.745193e-01	1.517864e-01	9.079566e-02	122	
1.289704e-01	1.148739e-01	9.506217e-02	1.483671e-02	8.983322e-02	123	
2.408022e-01	5.606292e-02	8.306190e-01	3.008218e-01	8.473614e-02	121	
