h 	 pve 	 rho 	 pge 	 pi 	 n_gamma
7.061319e-01	1.664727e-01	8.583342e-01	1.340495e-01	5.316019e-03	6	
4.787696e-01	1.883101e-01	8.981516e-01	6.855022e-01	3.227469e-03	4	
1.023871e-02	7.698376e-03	3.751274e-01	5.176219e-02	2.806729e-03	8	
8.340874e-01	7.429199e-01	1.358811e-01	2.069203e-03	4.878467e-03	1	
1.538474e-01	6.075020e-02	7.407263e-01	1.039783e-01	3.888072e-03	4	
1.431014e-01	1.276291e-01	2.382838e-02	3.110649e-03	5.629318e-03	7	
1.104116e-01	1.144960e-01	4.250599e-01	3.735384e-03	3.434304e-03	2	
1.113847e-01	8.452263e-02	2.814323e-01	2.049196e-01	4.167583e-03	4	
5.114150e-02	2.878901e-02	1.713431e-01	1.171231e-03	2.096088e-03	1	
2.701587e-01	1.233076e-01	8.078872e-01	5.205188e-01	2.172454e-03	5	
3.046682e-01	6.789400e-02	7.960420e-01	0.000000e+00	1.484973e-03	0	
5.638152e-02	2.775869e-02	2.741713e-01	1.105611e-02	2.249345e-03	2	
2.989610e-01	1.571209e-01	5.780809e-01	1.475366e-02	2.527728e-03	2	
9.538952e-02	2.317321e-02	6.172404e-01	1.322476e-02	3.404367e-03	2	
8.740867e-02	1.062996e-02	9.401100e-01	4.287689e-01	3.826508e-03	4	
1.154820e-01	3.834563e-02	7.051596e-01	2.368727e-01	4.340703e-03	7	
7.429949e-01	8.684964e-02	9.758669e-01	3.284737e-01	3.405195e-03	2	
7.871953e-02	5.834628e-02	2.631401e-01	2.106264e-01	2.856558e-03	7	
7.383561e-02	4.438587e-02	5.343554e-01	0.000000e+00	2.454741e-03	0	
4.242916e-01	9.484749e-02	8.959897e-01	1.078123e-02	1.679453e-03	1	
1.450053e-01	9.498788e-02	1.265380e-01	1.447026e-01	8.741320e-04	1	
1.262641e-01	9.241640e-02	4.744903e-01	0.000000e+00	9.021352e-04	0	
5.420378e-02	3.974413e-02	3.136465e-01	2.309610e-01	9.679901e-04	3	
8.972588e-02	4.856886e-02	2.093482e-01	1.347326e-02	1.209081e-03	2	
2.658249e-01	2.386844e-01	3.101409e-01	8.532743e-03	8.122630e-04	1	
7.901838e-02	5.791082e-02	3.759980e-01	1.905283e-01	1.175394e-03	6	
3.135261e-01	2.002139e-01	5.600127e-01	3.999191e-02	2.228023e-03	2	
2.883321e-01	1.282545e-01	7.709009e-01	4.396636e-01	3.424463e-03	4	
3.259000e-01	1.075227e-01	8.649554e-01	3.999235e-01	8.198557e-03	8	
2.578669e-01	2.324714e-01	2.307658e-01	3.449986e-02	9.584450e-03	16	
1.495492e-01	1.318183e-01	3.707078e-01	8.880105e-02	1.068370e-02	17	
2.092287e-01	9.367337e-02	2.713450e-01	1.060263e-01	1.826455e-02	21	
1.915861e-01	1.311201e-01	3.800510e-01	3.433025e-02	1.636177e-02	21	
4.109110e-01	1.534940e-01	8.078422e-01	4.628949e-01	1.813627e-02	22	
1.906326e-01	8.913179e-02	8.363923e-01	6.236938e-01	1.266193e-02	18	
4.138580e-01	2.032828e-01	6.357415e-01	1.338289e-01	2.617813e-02	29	
1.351344e-01	1.076259e-01	7.738709e-02	2.759778e-02	2.452875e-02	34	
7.765693e-01	3.913418e-01	9.404424e-01	6.824063e-01	2.194873e-02	24	
3.021431e-01	1.453862e-01	7.491978e-01	2.688067e-01	2.018339e-02	25	
1.276357e-01	3.469579e-02	7.469839e-01	1.831674e-01	1.185974e-02	14	
1.204714e-01	9.451407e-02	5.134223e-02	4.133269e-03	5.713371e-03	7	
1.671498e-02	1.450721e-03	8.706042e-01	8.356923e-02	3.158753e-03	1	
6.214191e-02	3.593079e-02	5.766114e-01	2.177892e-01	3.427840e-03	4	
4.046914e-01	2.240500e-01	5.844589e-01	9.268447e-02	4.766933e-03	7	
1.911758e-01	1.059520e-01	2.514641e-01	1.582539e-02	6.645059e-03	4	
6.026525e-01	4.215072e-01	6.624770e-01	3.228915e-01	6.794696e-03	6	
4.510236e-01	3.195331e-01	4.044313e-01	3.766750e-02	3.769492e-03	6	
2.950253e-01	1.007954e-01	6.644856e-01	1.928460e-01	4.148449e-03	4	
3.720733e-01	2.666674e-01	8.497541e-02	2.777728e-02	4.047413e-03	7	
8.699021e-02	4.496588e-02	6.498248e-01	2.449594e-01	2.009805e-03	2	
3.024794e-01	3.692749e-01	6.800846e-01	5.453239e-01	1.812386e-03	3	
3.261626e-03	1.822543e-03	8.193417e-01	6.327060e-01	2.470174e-03	9	
4.977683e-01	3.394329e-01	2.021668e-01	4.683860e-02	2.329299e-03	6	
1.497310e-01	5.393354e-02	6.603325e-01	1.186640e-01	5.879246e-03	6	
1.759014e-03	1.085807e-03	3.691899e-01	9.744938e-02	9.508147e-03	8	
1.387129e-02	6.168174e-03	4.406638e-01	3.930307e-02	5.484360e-03	7	
8.660957e-02	4.477906e-02	1.483961e-01	1.188610e-02	3.564254e-03	3	
1.104539e-02	5.743638e-03	7.573462e-01	2.647596e-01	2.222199e-03	2	
8.853022e-02	4.627239e-02	8.096596e-01	6.640971e-01	1.185999e-03	3	
8.084468e-02	5.865859e-02	1.796730e-01	1.942170e-04	8.886131e-04	1	
1.340794e-01	1.038623e-01	3.202928e-01	2.520189e-02	9.871532e-04	3	
4.738073e-01	2.547101e-01	6.740260e-01	9.995966e-02	1.130532e-03	3	
4.723989e-01	2.831880e-01	8.190027e-01	5.499826e-01	1.013393e-03	6	
4.455793e-01	3.008394e-02	9.462093e-01	0.000000e+00	9.005628e-04	0	
